root - INFO - GridSearch Tuner 3MM - 2023-07-20 04:49:19.292013
autotvm - DEBUG - waiting for device...
autotvm - DEBUG - device available
autotvm - INFO - Get devices for measurement successfully!
autotvm - DEBUG - No: 1	GFLOPS: 1.09/1.09	result: MeasureResult(costs=(44.231939814,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.21949577331543, timestamp=1689846655.1004949)	[('tile_y', 1), ('tile_x', 1), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,0
autotvm - DEBUG - No: 80	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(44.007091436,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.37353873252869, timestamp=1689853748.5270493)	[('tile_y', 1000), ('tile_x', 8), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,79
autotvm - DEBUG - No: 81	GFLOPS: 1.10/1.11	result: MeasureResult(costs=(43.72779778,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.4417884349823, timestamp=1689853836.7293634)	[('tile_y', 1), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,80
autotvm - DEBUG - No: 82	GFLOPS: 1.02/1.11	result: MeasureResult(costs=(47.0922285,), error_no=MeasureErrorNo.NO_ERROR, all_cost=93.99036288261414, timestamp=1689853930.2707963)	[('tile_y', 2), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,81
autotvm - DEBUG - No: 83	GFLOPS: 1.10/1.11	result: MeasureResult(costs=(43.694685238,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.42233800888062, timestamp=1689854018.2066216)	[('tile_y', 4), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,82
autotvm - DEBUG - No: 84	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(43.967914320000006,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.85309672355652, timestamp=1689854107.582017)	[('tile_y', 5), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,83
autotvm - DEBUG - No: 85	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(44.036992768,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.4399938583374, timestamp=1689854196.5404625)	[('tile_y', 8), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,84
autotvm - DEBUG - No: 86	GFLOPS: 1.08/1.11	result: MeasureResult(costs=(44.502140979,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.35315942764282, timestamp=1689854286.414618)	[('tile_y', 10), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,85
autotvm - DEBUG - No: 87	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(44.077584355,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.21126937866211, timestamp=1689854375.1506538)	[('tile_y', 20), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,86
autotvm - DEBUG - No: 88	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(43.86340133,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.69190454483032, timestamp=1689854464.358939)	[('tile_y', 25), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,87
autotvm - DEBUG - No: 89	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(44.063860039,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.83015942573547, timestamp=1689854552.7809157)	[('tile_y', 40), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,88
autotvm - DEBUG - No: 90	GFLOPS: 1.07/1.11	result: MeasureResult(costs=(44.753206883,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.73960995674133, timestamp=1689854643.135357)	[('tile_y', 50), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,89
autotvm - DEBUG - No: 91	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(44.228599274,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.15155029296875, timestamp=1689854731.8031223)	[('tile_y', 100), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,90
autotvm - DEBUG - No: 92	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(43.903297116000005,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.09354948997498, timestamp=1689854821.4070034)	[('tile_y', 125), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,91
autotvm - DEBUG - No: 93	GFLOPS: 1.08/1.11	result: MeasureResult(costs=(44.614715516,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.53360748291016, timestamp=1689854912.4598136)	[('tile_y', 200), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,92
autotvm - DEBUG - No: 94	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(43.991048856,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.94577050209045, timestamp=1689855000.9278023)	[('tile_y', 250), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,93
autotvm - DEBUG - No: 95	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(44.193496786000004,), error_no=MeasureErrorNo.NO_ERROR, all_cost=89.03683066368103, timestamp=1689855089.5278726)	[('tile_y', 500), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,94
autotvm - DEBUG - No: 96	GFLOPS: 1.08/1.11	result: MeasureResult(costs=(44.561526236,), error_no=MeasureErrorNo.NO_ERROR, all_cost=92.51937508583069, timestamp=1689855181.567313)	[('tile_y', 1000), ('tile_x', 10), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,95
autotvm - DEBUG - No: 97	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(44.214976307,), error_no=MeasureErrorNo.NO_ERROR, all_cost=93.21302437782288, timestamp=1689855274.3127742)	[('tile_y', 1), ('tile_x', 16), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,96
autotvm - DEBUG - No: 98	GFLOPS: 1.08/1.11	result: MeasureResult(costs=(44.459897143,), error_no=MeasureErrorNo.NO_ERROR, all_cost=91.44744896888733, timestamp=1689855365.2804441)	[('tile_y', 2), ('tile_x', 16), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,97
autotvm - DEBUG - No: 99	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(43.911743807,), error_no=MeasureErrorNo.NO_ERROR, all_cost=88.39763259887695, timestamp=1689855453.2975638)	[('tile_y', 4), ('tile_x', 16), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,98
autotvm - DEBUG - No: 100	GFLOPS: 1.09/1.11	result: MeasureResult(costs=(44.222919379,), error_no=MeasureErrorNo.NO_ERROR, all_cost=90.11646175384521, timestamp=1689855542.934359)	[('tile_y', 5), ('tile_x', 16), ('tile_y1', 1), ('tile_x1', 1), ('tile_y2', 1), ('tile_x2', 1)],None,99
root - INFO - Elpased time = 8983.872459173203
autotvm - DEBUG - Finish loading 100 records
